Feature ID	Taxon
seq1268	Eukaryota; none; none; none; none; none; none
seq1269	Eukaryota; none; none; none; none; none; none
seq1270	Eukaryota; none; none; none; none; none; none
seq1271	none; none; none; none; none; none; none
seq1272	Eukaryota; none; none; none; none; none; none
seq1273	Eukaryota; none; none; none; none; none; none
seq1274	none; none; none; none; none; none; none
seq1275	none; none; none; none; none; none; none
seq1276	none; none; none; none; none; none; none
seq1277	Eukaryota; none; none; none; none; none; none
seq1278	Eukaryota; none; none; none; none; none; none
seq1279	Eukaryota; none; none; none; none; none; none
seq1280	Eukaryota; none; none; none; none; none; none
seq1281	Eukaryota; none; none; none; none; none; none
seq1282	Eukaryota; none; none; none; none; none; none
seq1283	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq1284	none; none; none; none; none; none; none
seq1285	Eukaryota; none; none; none; none; none; none
seq1286	Eukaryota; none; none; none; none; none; none
seq1287	none; none; none; none; none; none; none
seq1288	Eukaryota; none; none; none; none; none; none
seq1289	none; none; none; none; none; none; none
seq1290	Eukaryota; none; none; none; none; none; none
seq1291	Eukaryota; none; none; none; none; none; none
seq1292	none; none; none; none; none; none; none
seq1293	Eukaryota; none; none; none; none; none; none
seq1294	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; stercoris
seq1295	Eukaryota; none; none; none; none; none; none
seq1296	Eukaryota; none; none; none; none; none; none
seq1297	Eukaryota; none; none; none; none; none; none
seq1298	Eukaryota; none; none; none; none; none; none
seq1299	none; none; none; none; none; none; none
seq1300	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; intestinalis
seq1301	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; none; none
seq1302	Eukaryota; none; none; none; none; none; none
seq1303	Eukaryota; none; none; none; none; none; none
seq1304	Eukaryota; none; none; none; none; none; none
seq1305	none; none; none; none; none; none; none
seq1306	Eukaryota; none; none; none; none; none; none
seq1307	Eukaryota; none; none; none; none; none; none
seq1308	Eukaryota; none; none; none; none; none; none
seq1309	none; none; none; none; none; none; none
seq1310	none; none; none; none; none; none; none
seq1311	Eukaryota; none; none; none; none; none; none
seq1312	none; none; none; none; none; none; none
seq1313	Eukaryota; none; none; none; none; none; none
seq1314	Eukaryota; none; none; none; none; none; none
seq1315	Eukaryota; none; none; none; none; none; none
seq1316	none; none; none; none; none; none; none
seq1317	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera; none
seq1318	none; none; none; none; none; none; none
seq1319	Eukaryota; none; none; none; none; none; none
seq1320	Eukaryota; none; none; none; none; none; none
seq1321	none; none; none; none; none; none; none
seq1322	Eukaryota; none; none; none; none; none; none
seq1323	Eukaryota; none; none; none; none; none; none
seq1324	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus_2; none
seq1325	none; none; none; none; none; none; none
seq1326	Eukaryota; none; none; none; none; none; none
seq1327	none; none; none; none; none; none; none
seq1328	none; none; none; none; none; none; none
seq1329	Eukaryota; none; none; none; none; none; none
seq1330	none; none; none; none; none; none; none
seq1331	Eukaryota; none; none; none; none; none; none
seq1332	Eukaryota; none; none; none; none; none; none
seq1333	Eukaryota; none; none; none; none; none; none
seq1334	Eukaryota; none; none; none; none; none; none
seq1335	Eukaryota; none; none; none; none; none; none
seq1336	Eukaryota; none; none; none; none; none; none
seq1337	none; none; none; none; none; none; none
seq1338	Eukaryota; none; none; none; none; none; none
seq1339	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; none
seq1340	Eukaryota; none; none; none; none; none; none
seq1341	none; none; none; none; none; none; none
seq1342	none; none; none; none; none; none; none
seq1343	Eukaryota; none; none; none; none; none; none
seq1344	Eukaryota; none; none; none; none; none; none
seq1345	Eukaryota; none; none; none; none; none; none
seq1346	Eukaryota; none; none; none; none; none; none
seq1347	Eukaryota; none; none; none; none; none; none
seq1348	none; none; none; none; none; none; none
seq1349	Eukaryota; none; none; none; none; none; none
seq1350	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq1351	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Agathobacter; none
seq1352	Eukaryota; none; none; none; none; none; none
seq1353	Eukaryota; none; none; none; none; none; none
seq1354	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1355	none; none; none; none; none; none; none
seq1356	Eukaryota; none; none; none; none; none; none
seq1357	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; none
seq1358	Eukaryota; none; none; none; none; none; none
seq1359	none; none; none; none; none; none; none
seq1360	Eukaryota; none; none; none; none; none; none
seq1361	none; none; none; none; none; none; none
seq1362	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; none; none
seq1363	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_1; none
seq1364	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; pallens
seq1365	none; none; none; none; none; none; none
seq1366	none; none; none; none; none; none; none
seq1367	none; none; none; none; none; none; none
seq1368	Eukaryota; none; none; none; none; none; none
seq1369	Eukaryota; none; none; none; none; none; none
seq1370	Bacteria; Firmicutes; Clostridia; Clostridiales; none; none; none
seq1371	none; none; none; none; none; none; none
seq1372	Eukaryota; none; none; none; none; none; none
seq1373	Eukaryota; none; none; none; none; none; none
seq1374	none; none; none; none; none; none; none
seq1375	Eukaryota; none; none; none; none; none; none
seq1376	none; none; none; none; none; none; none
seq1377	none; none; none; none; none; none; none
seq1378	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; CAG-56; none
seq1379	Eukaryota; none; none; none; none; none; none
seq1380	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq1381	Eukaryota; none; none; none; none; none; none
seq1382	Eukaryota; none; none; none; none; none; none
seq1383	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Anaerotruncus; colihominis
seq1384	Eukaryota; none; none; none; none; none; none
seq1385	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; none
seq1386	Eukaryota; none; none; none; none; none; none
seq1387	Eukaryota; none; none; none; none; none; none
seq1388	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_1; none
seq1389	Eukaryota; none; none; none; none; none; none
seq1390	Eukaryota; none; none; none; none; none; none
seq1391	Eukaryota; none; none; none; none; none; none
seq1392	Eukaryota; none; none; none; none; none; none
seq1393	Eukaryota; none; none; none; none; none; none
seq1394	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq1395	Eukaryota; none; none; none; none; none; none
seq1396	Eukaryota; none; none; none; none; none; none
seq1397	Eukaryota; none; none; none; none; none; none
seq1398	Eukaryota; none; none; none; none; none; none
seq1399	Eukaryota; none; none; none; none; none; none
seq1400	Eukaryota; none; none; none; none; none; none
seq1401	Eukaryota; none; none; none; none; none; none
seq1402	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq1403	none; none; none; none; none; none; none
seq1404	Eukaryota; none; none; none; none; none; none
seq1405	Eukaryota; none; none; none; none; none; none
seq1406	Eukaryota; none; none; none; none; none; none
seq1407	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; none
seq1408	Eukaryota; none; none; none; none; none; none
seq1409	Eukaryota; none; none; none; none; none; none
seq1410	Eukaryota; none; none; none; none; none; none
seq1411	Eukaryota; none; none; none; none; none; none
seq1412	Eukaryota; none; none; none; none; none; none
seq1413	Eukaryota; none; none; none; none; none; none
seq1414	Eukaryota; none; none; none; none; none; none
seq1415	Eukaryota; none; none; none; none; none; none
seq1416	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1417	Eukaryota; none; none; none; none; none; none
seq1418	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; none
seq1419	Eukaryota; none; none; none; none; none; none
seq1420	none; none; none; none; none; none; none
seq1421	Eukaryota; none; none; none; none; none; none
seq1422	Eukaryota; none; none; none; none; none; none
seq1423	none; none; none; none; none; none; none
seq1424	Eukaryota; none; none; none; none; none; none
seq1425	Eukaryota; none; none; none; none; none; none
seq1426	Eukaryota; none; none; none; none; none; none
seq1427	none; none; none; none; none; none; none
seq1428	Eukaryota; none; none; none; none; none; none
seq1429	Eukaryota; none; none; none; none; none; none
seq1430	Eukaryota; none; none; none; none; none; none
seq1431	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; none; none
seq1432	none; none; none; none; none; none; none
seq1433	none; none; none; none; none; none; none
seq1434	Eukaryota; none; none; none; none; none; none
seq1435	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1436	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-014; none
seq1437	Eukaryota; none; none; none; none; none; none
seq1438	Eukaryota; none; none; none; none; none; none
seq1439	none; none; none; none; none; none; none
seq1440	Eukaryota; none; none; none; none; none; none
seq1441	Eukaryota; none; none; none; none; none; none
seq1442	Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Eggerthellaceae; Eggerthella; lenta
seq1443	none; none; none; none; none; none; none
seq1444	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; none
seq1445	none; none; none; none; none; none; none
seq1446	Eukaryota; none; none; none; none; none; none
seq1447	none; none; none; none; none; none; none
seq1448	Eukaryota; none; none; none; none; none; none
seq1449	Eukaryota; none; none; none; none; none; none
seq1450	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq1451	none; none; none; none; none; none; none
seq1452	Eukaryota; none; none; none; none; none; none
seq1453	Eukaryota; none; none; none; none; none; none
seq1454	Eukaryota; none; none; none; none; none; none
seq1455	Eukaryota; none; none; none; none; none; none
seq1456	Eukaryota; none; none; none; none; none; none
seq1457	Eukaryota; none; none; none; none; none; none
seq1458	Eukaryota; none; none; none; none; none; none
seq1459	none; none; none; none; none; none; none
seq1460	Eukaryota; none; none; none; none; none; none
seq1461	Eukaryota; none; none; none; none; none; none
seq1462	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; GCA-900066755; none
seq1463	Eukaryota; none; none; none; none; none; none
seq1464	Eukaryota; none; none; none; none; none; none
seq1465	Eukaryota; none; none; none; none; none; none
seq1466	Eukaryota; none; none; none; none; none; none
seq1467	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-005; none
seq1468	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Butyricicoccus; none
seq1469	Eukaryota; none; none; none; none; none; none
seq1470	Eukaryota; none; none; none; none; none; none
seq1471	none; none; none; none; none; none; none
seq1472	none; none; none; none; none; none; none
seq1473	none; none; none; none; none; none; none
seq1474	none; none; none; none; none; none; none
seq1475	Eukaryota; none; none; none; none; none; none
seq1476	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; none
seq1477	Eukaryota; none; none; none; none; none; none
seq1478	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinifilaceae; Odoribacter; none
seq1479	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq1480	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Agathobacter; none
seq1481	Eukaryota; none; none; none; none; none; none
seq1482	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; none
seq1483	none; none; none; none; none; none; none
seq1484	Eukaryota; none; none; none; none; none; none
seq1485	Eukaryota; none; none; none; none; none; none
seq1486	Eukaryota; none; none; none; none; none; none
seq1487	Eukaryota; none; none; none; none; none; none
seq1488	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1489	Eukaryota; none; none; none; none; none; none
seq1490	none; none; none; none; none; none; none
seq1491	Eukaryota; none; none; none; none; none; none
seq1492	Eukaryota; none; none; none; none; none; none
seq1493	Eukaryota; none; none; none; none; none; none
seq1494	none; none; none; none; none; none; none
seq1495	none; none; none; none; none; none; none
seq1496	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Butyrivibrio; none
seq1497	none; none; none; none; none; none; none
seq1498	none; none; none; none; none; none; none
seq1499	Eukaryota; none; none; none; none; none; none
seq1500	Eukaryota; none; none; none; none; none; none
seq1501	Eukaryota; none; none; none; none; none; none
seq1502	none; none; none; none; none; none; none
seq1503	none; none; none; none; none; none; none
seq1504	Eukaryota; none; none; none; none; none; none
seq1505	Eukaryota; none; none; none; none; none; none
seq1506	Eukaryota; none; none; none; none; none; none
seq1507	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Solobacterium; moorei
seq1508	Eukaryota; none; none; none; none; none; none
seq1509	Eukaryota; none; none; none; none; none; none
seq1510	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Actinobacillus; none
seq1511	none; none; none; none; none; none; none
seq1512	Eukaryota; none; none; none; none; none; none
seq1513	Eukaryota; none; none; none; none; none; none
seq1514	Eukaryota; none; none; none; none; none; none
seq1515	Eukaryota; none; none; none; none; none; none
seq1516	Eukaryota; none; none; none; none; none; none
seq1517	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; none
seq1518	none; none; none; none; none; none; none
seq1519	Eukaryota; none; none; none; none; none; none
seq1520	Eukaryota; none; none; none; none; none; none
seq1521	Eukaryota; none; none; none; none; none; none
seq1522	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq1523	none; none; none; none; none; none; none
seq1524	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella; none
seq1525	none; none; none; none; none; none; none
seq1526	Eukaryota; none; none; none; none; none; none
seq1527	Eukaryota; none; none; none; none; none; none
seq1528	Eukaryota; none; none; none; none; none; none
seq1529	Eukaryota; none; none; none; none; none; none
seq1530	Eukaryota; none; none; none; none; none; none
seq1531	none; none; none; none; none; none; none
seq1532	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; none
seq1533	Eukaryota; none; none; none; none; none; none
seq1534	Eukaryota; none; none; none; none; none; none
seq1535	Eukaryota; none; none; none; none; none; none
seq1536	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_13; none
seq1537	Eukaryota; none; none; none; none; none; none
seq1538	Eukaryota; none; none; none; none; none; none
seq1539	Eukaryota; none; none; none; none; none; none
seq1540	Eukaryota; none; none; none; none; none; none
seq1541	Eukaryota; none; none; none; none; none; none
seq1542	none; none; none; none; none; none; none
seq1543	none; none; none; none; none; none; none
seq1544	Eukaryota; none; none; none; none; none; none
seq1545	Eukaryota; none; none; none; none; none; none
seq1546	Eukaryota; none; none; none; none; none; none
seq1547	Eukaryota; none; none; none; none; none; none
seq1548	Eukaryota; none; none; none; none; none; none
seq1549	Eukaryota; none; none; none; none; none; none
seq1550	Eukaryota; none; none; none; none; none; none
seq1551	Eukaryota; none; none; none; none; none; none
seq1552	Eukaryota; none; none; none; none; none; none
seq1553	none; none; none; none; none; none; none
seq1554	Eukaryota; none; none; none; none; none; none
seq1555	none; none; none; none; none; none; none
seq1556	Eukaryota; none; none; none; none; none; none
seq1557	Eukaryota; none; none; none; none; none; none
seq1558	none; none; none; none; none; none; none
seq1559	none; none; none; none; none; none; none
seq1560	Eukaryota; none; none; none; none; none; none
seq1561	Eukaryota; none; none; none; none; none; none
seq1562	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1563	none; none; none; none; none; none; none
seq1564	none; none; none; none; none; none; none
seq1565	Eukaryota; none; none; none; none; none; none
seq1566	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter; none
seq1567	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq1568	Eukaryota; none; none; none; none; none; none
seq1569	Eukaryota; none; none; none; none; none; none
seq1570	none; none; none; none; none; none; none
seq1571	Eukaryota; none; none; none; none; none; none
seq1572	Eukaryota; none; none; none; none; none; none
seq1573	Eukaryota; none; none; none; none; none; none
seq1574	Eukaryota; none; none; none; none; none; none
seq1575	none; none; none; none; none; none; none
seq1576	none; none; none; none; none; none; none
seq1577	Eukaryota; none; none; none; none; none; none
seq1578	Eukaryota; none; none; none; none; none; none
seq1579	none; none; none; none; none; none; none
seq1580	none; none; none; none; none; none; none
seq1581	none; none; none; none; none; none; none
seq1582	Eukaryota; none; none; none; none; none; none
seq1583	Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq1584	none; none; none; none; none; none; none
seq1585	Eukaryota; none; none; none; none; none; none
seq1586	Eukaryota; none; none; none; none; none; none
seq1587	none; none; none; none; none; none; none
seq1588	Eukaryota; none; none; none; none; none; none
seq1589	Eukaryota; none; none; none; none; none; none
seq1590	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XIII; Family_XIII_AD3011_group; none
seq1591	Eukaryota; none; none; none; none; none; none
seq1592	none; none; none; none; none; none; none
seq1593	Eukaryota; none; none; none; none; none; none
seq1594	Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Eggerthellaceae; Eggerthella; lenta
seq1595	Eukaryota; none; none; none; none; none; none
seq1596	Eukaryota; none; none; none; none; none; none
seq1597	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; none
seq1598	Eukaryota; none; none; none; none; none; none
seq1599	Eukaryota; none; none; none; none; none; none
seq1600	Eukaryota; none; none; none; none; none; none
seq1601	Eukaryota; none; none; none; none; none; none
seq1602	Eukaryota; none; none; none; none; none; none
seq1603	Eukaryota; none; none; none; none; none; none
seq1604	Eukaryota; none; none; none; none; none; none
seq1605	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus_3; none
seq1606	Eukaryota; none; none; none; none; none; none
seq1607	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1608	none; none; none; none; none; none; none
seq1609	Eukaryota; none; none; none; none; none; none
seq1610	Eukaryota; none; none; none; none; none; none
seq1611	Eukaryota; none; none; none; none; none; none
seq1612	Eukaryota; none; none; none; none; none; none
seq1613	Eukaryota; none; none; none; none; none; none
seq1614	Eukaryota; none; none; none; none; none; none
seq1615	Eukaryota; none; none; none; none; none; none
seq1616	Eukaryota; none; none; none; none; none; none
seq1617	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq1618	Eukaryota; none; none; none; none; none; none
seq1619	Eukaryota; none; none; none; none; none; none
seq1620	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq1621	Eukaryota; none; none; none; none; none; none
seq1622	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq1623	Eukaryota; none; none; none; none; none; none
seq1624	Eukaryota; none; none; none; none; none; none
seq1625	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-005; none
seq1626	Eukaryota; none; none; none; none; none; none
seq1627	Eukaryota; none; none; none; none; none; none
seq1628	Eukaryota; none; none; none; none; none; none
seq1629	none; none; none; none; none; none; none
seq1630	Eukaryota; none; none; none; none; none; none
seq1631	Eukaryota; none; none; none; none; none; none
seq1632	Eukaryota; none; none; none; none; none; none
seq1633	Eukaryota; none; none; none; none; none; none
seq1634	Eukaryota; none; none; none; none; none; none
seq1635	Eukaryota; none; none; none; none; none; none
seq1636	Eukaryota; none; none; none; none; none; none
seq1637	none; none; none; none; none; none; none
seq1638	Eukaryota; none; none; none; none; none; none
seq1639	Eukaryota; none; none; none; none; none; none
seq1640	Eukaryota; none; none; none; none; none; none
seq1641	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Fusicatenibacter; none
seq1642	Eukaryota; none; none; none; none; none; none
seq1643	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1644	none; none; none; none; none; none; none
seq1645	Eukaryota; none; none; none; none; none; none
seq1646	none; none; none; none; none; none; none
seq1647	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq1648	Eukaryota; none; none; none; none; none; none
seq1649	Eukaryota; none; none; none; none; none; none
seq1650	Eukaryota; none; none; none; none; none; none
seq1651	Eukaryota; none; none; none; none; none; none
seq1652	Eukaryota; none; none; none; none; none; none
seq1653	Eukaryota; none; none; none; none; none; none
seq1654	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1655	none; none; none; none; none; none; none
seq1656	none; none; none; none; none; none; none
seq1657	Eukaryota; none; none; none; none; none; none
seq1658	Eukaryota; none; none; none; none; none; none
seq1659	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1660	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; animalis
seq1661	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_5; none
seq1662	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinifilaceae; Butyricimonas; paravirosa
seq1663	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; none
seq1664	none; none; none; none; none; none; none
seq1665	none; none; none; none; none; none; none
seq1666	Eukaryota; none; none; none; none; none; none
seq1667	Eukaryota; none; none; none; none; none; none
seq1668	Eukaryota; none; none; none; none; none; none
seq1669	Eukaryota; none; none; none; none; none; none
seq1670	Eukaryota; none; none; none; none; none; none
seq1671	Eukaryota; none; none; none; none; none; none
seq1672	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1673	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1674	Eukaryota; none; none; none; none; none; none
seq1675	Eukaryota; none; none; none; none; none; none
seq1676	none; none; none; none; none; none; none
seq1677	Eukaryota; none; none; none; none; none; none
seq1678	Eukaryota; none; none; none; none; none; none
seq1679	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter; none
seq1680	Eukaryota; none; none; none; none; none; none
seq1681	Eukaryota; none; none; none; none; none; none
seq1682	Eukaryota; none; none; none; none; none; none
seq1683	none; none; none; none; none; none; none
seq1684	none; none; none; none; none; none; none
seq1685	none; none; none; none; none; none; none
seq1686	none; none; none; none; none; none; none
seq1687	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Citricoccus; none
seq1688	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1689	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-005; none
seq1690	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Proteus; none
seq1691	Eukaryota; none; none; none; none; none; none
seq1692	Eukaryota; none; none; none; none; none; none
seq1693	none; none; none; none; none; none; none
seq1694	Eukaryota; none; none; none; none; none; none
seq1695	Eukaryota; none; none; none; none; none; none
seq1696	Eukaryota; none; none; none; none; none; none
seq1697	Eukaryota; none; none; none; none; none; none
seq1698	Eukaryota; none; none; none; none; none; none
seq1699	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; none
seq1700	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1701	Eukaryota; none; none; none; none; none; none
seq1702	Eukaryota; none; none; none; none; none; none
seq1703	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq1704	Eukaryota; none; none; none; none; none; none
seq1705	Eukaryota; none; none; none; none; none; none
seq1706	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinifilaceae; Butyricimonas; none
seq1707	none; none; none; none; none; none; none
seq1708	none; none; none; none; none; none; none
seq1709	Eukaryota; none; none; none; none; none; none
seq1710	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus; none
seq1711	Eukaryota; none; none; none; none; none; none
seq1712	none; none; none; none; none; none; none
seq1713	Eukaryota; none; none; none; none; none; none
seq1714	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; none
seq1715	Eukaryota; none; none; none; none; none; none
seq1716	none; none; none; none; none; none; none
seq1717	none; none; none; none; none; none; none
seq1718	Eukaryota; none; none; none; none; none; none
seq1719	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-001; none
seq1720	none; none; none; none; none; none; none
seq1721	Eukaryota; none; none; none; none; none; none
seq1722	none; none; none; none; none; none; none
seq1723	none; none; none; none; none; none; none
seq1724	none; none; none; none; none; none; none
seq1725	Bacteria; Cyanobacteria; Melainabacteria; Gastranaerophilales; none; none; none
seq1726	Eukaryota; none; none; none; none; none; none
seq1727	Eukaryota; none; none; none; none; none; none
seq1728	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1729	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq1730	Eukaryota; none; none; none; none; none; none
seq1731	none; none; none; none; none; none; none
seq1732	Eukaryota; none; none; none; none; none; none
seq1733	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq1734	Eukaryota; none; none; none; none; none; none
seq1735	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; none; none
seq1736	Eukaryota; none; none; none; none; none; none
seq1737	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; none
seq1738	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq1739	none; none; none; none; none; none; none
seq1740	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq1741	Eukaryota; none; none; none; none; none; none
seq1742	Eukaryota; none; none; none; none; none; none
seq1743	Eukaryota; none; none; none; none; none; none
seq1744	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; none; none
seq1745	Eukaryota; none; none; none; none; none; none
seq1746	Eukaryota; none; none; none; none; none; none
seq1747	none; none; none; none; none; none; none
seq1748	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-003; none
seq1749	Eukaryota; none; none; none; none; none; none
seq1750	Eukaryota; none; none; none; none; none; none
seq1751	none; none; none; none; none; none; none
seq1752	none; none; none; none; none; none; none
seq1753	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; intestinalis
seq1754	Eukaryota; none; none; none; none; none; none
seq1755	Eukaryota; none; none; none; none; none; none
